Date,Coffee_Price
2015-01-01,
2015-01-02,161.0500030517578
2015-01-05,168.10000610351562
2015-01-06,174.89999389648438
2015-01-07,175.0500030517578
2015-01-08,176.89999389648438
2015-01-09,180.0500030517578
2015-01-12,176.75
2015-01-13,176.9499969482422
2015-01-14,179.85000610351562
2015-01-15,176.64999389648438
2015-01-16,171.0
2015-01-19,
2015-01-20,164.3000030517578
2015-01-21,161.25
2015-01-22,159.9499969482422
2015-01-23,162.4499969482422
2015-01-26,161.85000610351562
2015-01-27,168.1999969482422
2015-01-28,167.6999969482422
2015-01-29,160.0
2015-01-30,161.89999389648438
2015-02-02,162.4499969482422
2015-02-03,160.75
2015-02-04,164.89999389648438
2015-02-05,164.75
2015-02-06,166.85000610351562
2015-02-09,167.60000610351562
2015-02-10,159.39999389648438
2015-02-11,159.4499969482422
2015-02-12,164.5500030517578
2015-02-13,163.1999969482422
2015-02-16,
2015-02-17,155.64999389648438
2015-02-18,152.8000030517578
2015-02-19,149.1999969482422
2015-02-20,148.64999389648438
2015-02-23,144.4499969482422
2015-02-24,145.35000610351562
2015-02-25,139.75
2015-02-26,136.5500030517578
2015-02-27,136.75
2015-03-02,135.10000610351562
2015-03-03,126.25
2015-03-04,134.0500030517578
2015-03-05,131.5500030517578
2015-03-06,136.5
2015-03-09,133.64999389648438
2015-03-10,131.6999969482422
2015-03-11,128.39999389648438
2015-03-12,128.85000610351562
2015-03-13,126.44999694824219
2015-03-16,134.89999389648438
2015-03-17,133.9499969482422
2015-03-18,136.25
2015-03-19,140.0
2015-03-20,143.35000610351562
2015-03-23,141.85000610351562
2015-03-24,137.3000030517578
2015-03-25,139.9499969482422
2015-03-26,140.25
2015-03-27,138.1999969482422
2015-03-29,
2015-03-30,132.35000610351562
2015-03-31,132.89999389648438
2015-04-01,134.85000610351562
2015-04-02,140.89999389648438
2015-04-05,
2015-04-06,146.1999969482422
2015-04-07,141.9499969482422
2015-04-08,135.6999969482422
2015-04-09,137.4499969482422
2015-04-10,135.10000610351562
2015-04-12,
2015-04-13,133.75
2015-04-14,134.60000610351562
2015-04-15,135.8000030517578
2015-04-16,139.60000610351562
2015-04-17,138.6999969482422
2015-04-19,
2015-04-20,138.6999969482422
2015-04-21,140.3000030517578
2015-04-22,142.39999389648438
2015-04-23,140.4499969482422
2015-04-24,141.14999389648438
2015-04-26,
2015-04-27,136.10000610351562
2015-04-28,138.14999389648438
2015-04-29,138.35000610351562
2015-04-30,136.5500030517578
2015-05-01,133.4499969482422
2015-05-03,
2015-05-04,131.85000610351562
2015-05-05,132.5500030517578
2015-05-06,128.0500030517578
2015-05-07,130.85000610351562
2015-05-08,132.89999389648438
2015-05-10,
2015-05-11,133.35000610351562
2015-05-12,134.5
2015-05-13,134.39999389648438
2015-05-14,135.64999389648438
