date,title,url
2025-03-14,Adverse climatic conditions drive coffee prices to highest level in years,https://www.fao.org:443/newsroom/detail/adverse-climatic-conditions-drive-coffee-prices-to-highest-level-in-years/en
2025-02-18,Green Climate Fund greenlights two major FAO-led projects to strengthen climate resilience in Kenya and Serbia,https://www.fao.org:443/newsroom/detail/green-climate-fund-greenlights-two-major-fao-led-projects-to-strengthen-climate-resilience-in-kenya-and-serbia/en
2024-11-14,"Cocoa, coffee and tea push up global food import bill for wealthier countries",https://www.fao.org:443/newsroom/detail/cocoa--coffee-and-tea-push-up-global-food-import-bill-for-wealthier-countries/en
2024-10-23,G7 Development Ministers’ Meeting: FAO calls for increased focus on Africa amid rising hunger,https://www.fao.org:443/newsroom/detail/g7-development-ministers--meeting--fao-calls-for-increased-focus-on-africa-amid-rising-hunger/en
2024-09-18,"In Honduras, QU Dongyu highlights the crucial role of coffee in the transformation of agrifood systems",https://www.fao.org:443/newsroom/detail/qu-dongyu-highlights-the-crucial-role-of-coffee-in-the-transformation-of-agrifood-systems/en
2024-05-21,"On International Tea Day, FAO spotlights the role of women in the sector and their significant contributions",https://www.fao.org:443/newsroom/detail/on-international-tea-day--fao-spotlights-the-role-of-women-in-the-sector-and-their-significant-contributions/en
2024-04-25,Productive Alliances: partnering for greater inclusiveness and efficiency in agricultural systems,https://www.fao.org:443/newsroom/detail/productive-alliances--partnering-for-greater-inclusiveness-and-efficiency-in-agricultural-systems/en
2023-12-06,Innovative technology can help curb child labour in agriculture,https://www.fao.org:443/newsroom/detail/innovative-technology-can-help-curb-child-labour-in-agriculture/en
2023-10-16,World Food Forum opens with a call to accelerate climate action by transforming agrifood systems,https://www.fao.org:443/newsroom/detail/world-food-forum-opens-with-a-call-to-accelerate-climate-action-by-transforming-agrifood-systems/en
2023-10-11,FAO Food Outlook predicts declining international trade in some basic foodstuffs,https://www.fao.org:443/newsroom/detail/fao-food-outlook-predicts-declining-international-trade-in-some-basic-foodstuffs/en
2022-12-10,FAO’s Hand-in-Hand Initiative hits the ground running,https://www.fao.org:443/newsroom/detail/fao-s-hand-in-hand-initiative-hits-the-ground-running/en
