date,combined_titles,processed_text,sentiment_label_1,sentiment_score_1,sentiment_label_2,sentiment_score_2,sentiment_label_finbert,sentiment_score_finbert,Date,Coffee_Price,price_change_pct,price_movement
2015-01-05,‘Stairs of Fabulousness’ Lead to Locally Owned Cafe in Boston’s Brutalist City Hall Who Roasted the ‘Miracle Coffee’ That Saved Serena Williams in Perth? Socially Enterprising Peace Coffee Files as Public Benefit Corporation,files owned city williams socially hall perth corporation cafe lead peace benefit bostons locally coffee brutalist fabulousness serena miracle saved enterprising stairs roasted public,LABEL_1,0.5020235776901245,POSITIVE,0.8487750887870789,neutral,0.8862957954406738,2015-01-05,168.10000610351562,4.377524320500692,up
2015-01-06,Lavazza Unveils U.S. Headquarters and Showroom in Lower Manhattan Blue Bottle to Relocate Williamsburg Roasting HQ to Renovated 1930s Warehouse,lower williamsburg showroom blue relocate unveils lavazza warehouse roasting us bottle headquarters renovated hq manhattan,LABEL_1,0.9125791192054749,POSITIVE,0.5818262696266174,neutral,0.919668972492218,2015-01-06,174.89999389648438,4.045203775174966,up
2015-01-07,Inside Upstart Revelator Coffee’s First Bar in Downtown Birmingham Cheese Syrup at Starbucks Australia is a Real Thing Greater Cincy’s Carabello Coffee to Expand Roastery and Flagship Bar,expand downtown starbucks bar flagship birmingham syrup thing greater coffees coffee inside australia carabello cincys revelator cheese real roastery upstart first,LABEL_1,0.6115725040435791,POSITIVE,0.9784733057022095,neutral,0.8838232755661011,2015-01-07,175.0500030517578,0.08576853087955971,neutral
2015-01-08,"Coffee Shop Hackers Could Be Stealing from Non-Connected Devices, Researchers Say",stealing hackers say shop researchers devices coffee nonconnected could,LABEL_0,0.5894981622695923,NEGATIVE,0.9984660148620605,neutral,0.619644284248352,2015-01-08,176.89999389648438,1.0568356540842538,neutral
2015-01-09,"Fairtrade Foundation Launches $460,000 Project to Empower Female Farmers in Kenya Coffee Purveyor Promotes Blind Taste Test with a 50 Percent Failure Rate Ethiopia and Kenya Coffees Dominate 2015 Good Food Awards List",taste project rate fairtrade farmers launches list ethiopia failure blind promotes coffees food percent purveyor empower coffee test dominate good foundation awards female kenya,LABEL_1,0.6710532903671265,NEGATIVE,0.9951741099357605,neutral,0.8097684979438782,2015-01-09,180.0500030517578,1.7806722803601183,neutral
2015-01-12,La Marzocco Home and Mazzer Introduce Upmarket Home Lux D Grinder Serena’s “Miracle Coffee” Roasters Mystery Solved in Perth,solved lux introduce serenas mazzer roasters perth upmarket miracle la coffee marzocco grinder home mystery,LABEL_1,0.8853451609611511,NEGATIVE,0.7268968820571899,neutral,0.8285306692123413,2015-01-12,176.75,-1.8328258793803953,neutral
2015-01-13,I’ll Have A Medium: New York Design Agency Releases Coffee Cup ‘Art of Art of Art’ Generations of Reflection at the Finca Malacara Reunion in El Salvador Fireside Slurping at Peace Coffee’s New Minneapolis Skyscraper Bar,art malacara reflection agency reunion bar medium fireside cup design el slurping peace generations coffees skyscraper salvador minneapolis coffee ill york releases finca new,LABEL_1,0.8592671751976013,NEGATIVE,0.9693728089332581,neutral,0.8972270488739014,2015-01-13,176.9499969482422,0.1131524459644595,neutral
2015-01-14,Remembering Organic Coffee Pioneer and Cafe Femenino Founder Garth Smith Coffee Chaff Roast Duck? Check Out this Amazing Coffee Menu in Hawaii,check femenino remembering pioneer garth chaff duck hawaii smith cafe roast organic amazing founder menu coffee,LABEL_2,0.698843240737915,POSITIVE,0.9832891821861267,neutral,0.922532856464386,2015-01-14,179.85000610351562,1.6388862420391392,neutral
2015-01-15,Monthly C-Market Report: Prices Hit 10-Month Low as Brazil Forecast Improves A Branded Bulletproof Coffee Shop is Coming to Santa Monica,low forecast cmarket santa monthly brazil improves shop coming report prices branded hit bulletproof monica coffee month,LABEL_2,0.4944230020046234,NEGATIVE,0.9970993995666504,positive,0.7695721983909607,2015-01-15,176.64999389648438,-1.7792672218145067,neutral
2015-01-16,"Must-See “Caffeinated” to Debut this Month with SCAA Screening to Follow Kenyan Leaders Unveil National Branding Effort, “Coffee Kenya Mark of Origin”",branding effort kenya mark leaders kenyan mustsee caffeinated national screening scaa unveil origin follow debut month coffee,LABEL_1,0.8643636703491211,POSITIVE,0.7450288534164429,neutral,0.8425838351249695,2015-01-16,171.0,-3.1984116001697815,neutral
